author,hit_name,institute,research_area
Aisha Walcott-Bryant,"Aisha Walcott Bryant, PhD",IBM Research,"ai,healthcare,edge,robotics"
Divya Pathak,Dr.Divya Pathak,"IIMT COLLEGE OF MEDICAL SCIENCES,MEERUT","pharmacology,neuroscience,pharmacognosy"
Pan Hu,Pan Hu,Boston College,
Ernesto Jimenez-Ruiz,Ernesto Jimenez-Ruiz,"Lecturer in Artificial Intelligence. City, University of London, UK","semantic web,knowledge representation,ontology alignment,ontology embeddings,knowledge graphs"
Ole Magnus Holter,Ole Magnus Holter,University of Oslo,"semantics,nlp,data science"
Denvar Antonyrajah,,,
Ian Horrocks,Ian Horrocks,"Professor of Computer Science, University of Oxford","semantic web,ontologies,knowledge representation,artificial intelligence,logic in computer science"
Subhojeet Pramanik,Subhojeet Pramanik,"MSc Student at University of Alberta, RLAI, Alberta Machine Intelligence Institute (Amii)","reinforcement learning,representation learning,deep learning,multi-modal"
Shashank Mujumdar,Shashank Mujumdar,Advisory Research Scientist at IBM Research,"deep learning,computer vision,natural language processing"
Hima Patel,Hima Patel,"Postdoctoral Researcher, UT Southwestern Medical Center",cancer
Xiangyu Dong,Xiangyu Dong,"Staff Software Engineer, Google",computer architecture
Mohammad AzariJafari,Mohammad AzariJafari,"Master's degree in IT Engineering, University of Qom","machine learning,deep learning,natural language processing,information retrieval"
Zohreh Pourjafari,,,
Soroush Faridan-Jahromi,Soroush Faridan-Jahromi,"Master's degree in Information Technology, University of Qom","natural language processing,machine learning,text mining,deep learning,data mining"
Zeinab Kouhkan,Zeinab Kouhkan,Unknown affiliation,
Azadeh Amirak,azadeh amirak,Master of Science in Information Technology,ai
Amir Atapour-Abarghouei,Amir Atapour-Abarghouei,"Department of Computer Science, Durham University","machine learning,deep learning,computer vision,image processing,natural language processing"
Stephen Bonner,Stephen Bonner,AstraZeneca,"graph mining,machine learning"
Andrew Stephen McGough,,,
Liqun Chen,Liqun Chen,"Professor, University of Surrey, UK","cryptography,information security,secure systems"
Chris Brockett,Chris Brockett,"Principal Researcher, Microsoft Research","natural language processing,computational linguistics,semantics,paraphrase,machine translation"
Ming-Ting Sun,Ming-Ting Sun,"Professor of Electrical Engineering, University of Washington",video technology
Bill Dolan,Bill Dolan,"Principal Researcher, Microsoft Research AI",
Amirhoshang Hoseinpour Dehkordi,Amirhoshang Hoseinpour Dehkordi,Ph.D. Student IPM,"formal verification,symbolic ai,epistemic logic,multi-agent systems"
Majid Alizadeh,Majid Alizadeh,"Associate professor, university of Tehran","non-classical logic,logic in cs,modal logic,algebraic logic"
Ali Movaghar,Ali Movaghar,"Professor of Computer Science and Engineering, Sharif University of Technology., Tehran, Iran","performance analysis,formal verification,distributed real-time systems,internet of things,cyber-physical systems"
Zhichao Geng,Zhichao Geng,Fudan University,nlp
Hongjin Qian,Hongjin Qian,Renmin University of China,nlp
Xiaohe Li,Ginny Xiaohe Li,University of Michigan,computational biology
Hanxun Zhong,,,
Yueyuan Ma,Yueyuan Ma,UC Santa Barbara,economics
Yutao Zhu,Yutao Zhu,"PhD student, University of Montreal",natural language processing
Zhanliang Liu,,,
Cristina Zuheros,Cristina Zuheros,University of Granada,"deep learning,social networks,decision making,computing with words"
Enrique Herrera-Viedma,Enrique Herrera-Viedma,"Professor of Computer Science and Artificial Intelligence, Spain, University of Granada","fuzzy sets,fuzzy decision making,computing with words,multiple criteria decision making,consensus"
Francisco Herrera,Francisco Herrera,"Professor Computer Science and AI, Granada University, Spain","artificial intelligence,computational intelligence,data mining,evolutionary algorithms,big data analytics"
Pradip Pramanick,Pradip Pramanick,"Researcher, TCS Research","human robot interaction,participatory sensing"
Chayan Sarkar,Chayan Sarkar,"Scientist, TCS Research","human-robot interaction,multi-robot systems,networked embedded systems,internet of things"
Balamuralidhar P,Balamuralidhar P,"TCS Research,  Tata Consultancy Services","computer vision,robotics,cyber physical systems,sensor informatics,internet of things"
Ajay Kattepur,Ajay Kattepur,Ericsson Research,"distributed systems,performance modeling,intelligent agents"
Indrajit Bhattacharya,Indrajit Bhattacharya,TCS Research,"machine learning,probabilistic topic models,bayesian nonparametrics,knowledge graphs"
Arpan Pal,Arpan Pal,"Distinguished Chief Scientist and Research Area Head, Embedded Devices and Intelligent Systems, TCS","embedded systems,computational sensing,signal/image processing and ml,edge computing and edge ai,neuromorphic computing"
Arjun Srinivasan,Arjun Srinivasan,"Senior Research Staff, Tableau Research","information visualization,natural user interfaces,visual analytics,human-computer interaction"
Jiahuang Lin,,,
Pooyan Safari,Pooyan Safari,Fraunhofer HHI,"artificial intelligence,machine learning,deep learning,signal processing"
Miquel India,Miquel India Massana,"PhD Student, Universidad Politécnica de Catalunya",
Javier Hernando,Javier Hernando,"Professor of Electrionic Egineering, Universitat Politecnica de Catalunya","speech processing,biometrics"
Jason Hyung-Jong Lee,,,
Michael Oppermann,Michael Oppermann,University of British Columbia,"human-computer interaction,information visualization,data analysis"
Robert Kincaid,Robert Kincaid,"Retired, formerly Tableau Research, Keysight Labs, Agilent Labs, Hewlett-Packard","information visualization,visual analytics,computational biology,human computer interaction,user interface"
Tamara Munzner,Tamara Munzner,"Professor of Computer Science, University of British Columbia","visualization,information visualization,visual analytics"
Arthur Selle Jacobs,Arthur Selle Jacobs,Federal University of Rio Grande do Sul,computer networks
Ricardo José Pfitscher,Ricardo Jose Pfitscher,UFRGS,
Ronaldo Alves Ferreira,,,
Lisandro Zambenedetti Granville,Lisandro Zambenedetti Granville,Federal University of Rio Grande do Sul,"computer networks,network management"
Zhenyu Liu,Zhenyu Liu,"CAS Key Laboratory of Molecular Imaging, Institute of Automation","medical image analysis,artificial intelligence"
Chaohong Lu,,,
Haiwei Huang,Huawei Huang,KAIST,"functional materials,nanomaterials,electrocatalysis,energy storage and conversion"
Shengfei Lyu,,,
Zhenchao Tao,,,
Andrej Risteski,Andrej Risteski,Carnegie Mellon University,"machine learning,theoretical computer science"
Yang Qiu,Yang Qiu,"Post Doctorate Research Associate , PNNL","water electrolysis,biomass upgrading,fuel cell"
Nikolaos Tziortziotis,Nikolaos Tziortziotis,Jellyfish Research,"reinforcement learning,machine learning,artificial intelligence,decision making under  uncertainty"
Martial Hue,,,
Laksh Advani,Laksh Advani,Capital One,machine learning
Clement Lu,Clement Lu,Software Engineer @ Amazon,
Suraj Maharjan,Suraj Maharjan,"Amazon, Alexa AI","natural language processing,deep learning,machine learning,data science"
Hai Wang,Hai Wang,Stanford University,
Guy Clarke Marshall,Guy Clarke Marshall,"University of Manchester, UK","human-computer interaction,artificial intelligence,neural networks,system diagrams"
Caroline Jay,John Buse,University of North Carolina,"diabetes,obesity"
Makbule Gulcin Ozsoy,Makbule Gulcin Ozsoy,The Insight Centre for Data Analytics,"recommender systems,machine learning,information retrieval"
Frank Emmert-Streib,Frank Emmert-Streib,"Tampere University, Predictive Society and Data Analytics Lab","data science,artificial intelligence,network science,computational biology,natural language processing"
Oliver Westphal,,,
A. R. Provenzano,,,
D. Trifirò,,,
A. Datteo,,,
L. Giada,Giada Lo Re,"Chalmers University of Technology Location Göteborg, Sweden Department Institutionen för Industri","polymer science: polymer processing,material chemistry and polymer physics"
N. Jean,Jean Decety,"Professor of Psychology and of Psychiatry and Behavioral Sciences, The University of Chicago","affective neuroscience,developmental neuroscience,social neuroscience,cognitive neuroscience"
A. Riciputi,,,
G. Le Pera,,,
M. Spadaccino,Michael D. Spadaccini,Chief Operating Officer,"marketing,law"
L. Massaron,Luca Massaron,Senior Data Science Expert,"data science,machine learning,ai"
C. Nordio,Cristiano Nordio,Ca' Foscari University of Venice,management
Ananth Sankar,Ananth Sankar,LinkedIn,"speech recognition,machine learning,pattern recognition"
Zimeng Yang,,,
Bee-Chung Chen,,,
Deepak Agarwal,Deepak Agarwal,"LPSC, ISRO, Trivandrum, Kerala, India","thermal,nanofluids,cryogenics,heat transfer,two-phase"
Muhammad Javed,Muhammad Javed,"Department of Zoology, Wildlife and Fisheries, University of Agriculture Faisalabad, Pakistan",freshwater fisheries and toxicology
Yuqing Lin,Yuqing Lin,University of Central Florida,physics
David L. Martin,David L Martin,"Lecturer in Politics, Goldsmiths, University of London",
Peter F. Patel-Schneider,Peter F. Patel-Schneider,PARC,"big knowledge,semantic web,knowledge representation,information extraction,natural language processing"
Chenhan Zhang,Chenhan Zhang,University of Technology Sydney,"deep learning,privacy-preserving"
Masoud Hashemi,Masoud Hashemi,University of Massachusetts Amherst,sustainable agriculture
Ali Fathi,Ali Fathi,"The University of Sydney,","material science,polymer synthesis,polymer processing,bioengineering,tissue engineering"
Athanasios Mouchtaris,Athanasios Mouchtaris,Applied Science Manager at Amazon Alexa,audio and speech processing
Siegfried Kunzmann,Siegfried Kunzmann,"Senior Manager Machine Learning, Amazon Alexa Machine Learning","automatic speech processing,speech recognition,speech synthesis,natural language understanding,spoken language understanding"
Ge Zhang,Ge Zhang,"Division of Human Genetics, Cincinnati Children's Hospital Medical Center","statistical genetics,human population genetics,genetics of complex traits and diseases"
Mike A. Merrill,Mike A. Merrill,"PhD Student, University of Washington","data science,ubiquitous computing,human behavior,mhealth"
Jeffrey Heer,Jeffrey Heer,University of Washington,"human-computer interaction,hci,visualization,information visualization,visual analytics"
Tim Althoff,Tim Althoff,"Assistant Professor of Computer Science, University of Washington","data science,data mining,natural language processing,health data science,behavioral data science"
Wanhong Huang,,,
Wah Meng Lim,,,
Vikas Raunak,Vikas Raunak,"Research Scientist, Microsoft","neural machine translation,speech translation,sequence modeling,natural language generation,natural language processing"
Jamie Callan,Jamie Callan,"Professor, Language Technologies Institute, Carnegie Mellon University","information retrieval,text mining"
Tian Jin,wei wang,Tianjin Medical University,
Gheorghe-Teodor Bercea,Gheorghe-Teodor Bercea,"Research Staff Member, IBM Research",compiler technologies - high performance computing - compiler optimization - parallel programming - programming models
Tung D. Le,Tung D. Le,IBM Research - Tokyo,"programming languages,parallel processing,deep learning"
Gong Su,Gong Su,IBM T.J. Watson Research Center,systems
Haruki Imai,Haruki Imai,"Research Staff Member, IBM Research - Tokyo","high performance computing,deep learning"
Yasushi Negishi,Yasushi Negishi,IBM Research - Tokyo,
Anh Leu,,,
Kevin O'Brien,Kevin O'Brien,"Professor of Political Science, University of California, Berkeley","chinese politics,comparative politics,social movements,political science,china"
Kiyokuni Kawachiya,Kiyokuni Kawachiya,"Senior Technical Staff Member, IBM Research - Tokyo","programming languages,operating systems,virtualization"
Alexandre E. Eichenberger,,,
Sung Min Cho,Sung Min Cho,sungkyunkwan university,oled
Eunhyeok Park,Eunhyeok Park,POSTECH,"neural network optimization,energy efficient hardware design"
Sungjoo Yoo,Sungjoo Yoo,Seoul National University,"memory,storage"
Menashe Benjamin,Idan Menashe,Ben-Gurion University,"genetics,epidemiology,autism"
Guy Engelhard,,,
Alex Aisen,Alexander Cho,"Assistant Professor, Department of Asian American Studies, University of California, Santa Barbara",
Yinon Aradi,,,
Elad Benjamin,Elad Segev,Ben-Gurion University of the Negev,"computational materials science,semiconductors,nanotechnology"
Ali Hürriyetoğlu,Ali Hürriyetoğlu,Koc University,"computational linguistics,social media analysis,event extraction,natural language processing,computational social science"
Erdem Yörük,Erdem Yoruk,"Koç University, Dep. of Sociology; University of Oxford, Dep. of Social Policy and Intervention","comparative social policy,social movements,political sociology,comparative historical sociology,computational social science"
Deniz Yüret,Deniz Yuret,"Professor of Computer Engineering, Koc University, Istanbul","artificial intelligence,natural language processing,machine learning"
